species,has_tree_tip,has_te,has_genome,has_ectopic,has_morphology,has_ltr_history,genome_size_pg,genome_size_se_pg,genome_result_status,genome_flag_summary,morph_cell_area_um2,morph_nucleus_area_um2,morph_nc_ratio,ltr_line_logratio,order_pielou,weighted_te_divergence_p90,weighted_te_deletions_p90,ectopic_log10_mean_ratio,ltr_history_median_k2p_distance,ltr_history_n_pairs_estimated,ltr_history_n_pairs_high_confidence,ltr_history_age_low_mya,ltr_history_age_central_mya,ltr_history_age_high_mya,ltr_history_source_id,ltr_history_calibration_source_id,ltr_history_rate_source_id,ltr_history_source_ids,body_size_proxy_mm,body_size_proxy_measurement,body_size_proxy_source_id,body_size_proxy_confidence,body_size_proxy_mm_phylofill,body_size_phylofill_mode,body_size_phylofill_usable,development_mode,development_source_id,development_confidence,development_mode_phylofill,development_phylofill_mode,development_phylofill_usable,aquaticity_index,aquaticity_index_phylofill,aquaticity_phylofill_mode,aquaticity_phylofill_usable,microhabitat_class,microhabitat_class_phylofill,microhabitat_phylofill_mode,microhabitat_phylofill_usable,lifestyle_source_id,lifestyle_confidence,elevation_mid_m,elevation_source_id,has_core_organismal_complete,has_core_organismal_mediumplus,has_core_organismal_phylofill,has_elevation,uses_total_length_body_proxy,uses_mixed_stage_body_proxy,is_low_confidence_body_proxy,is_low_confidence_lifestyle_proxy,n_core_traits_with_phylo_assistance,uses_any_phylo_assistance,organismal_source_ids,te_feature_source_ids,genome_source_id,morphology_source_id
amphileucus,True,True,True,True,True,True,19.639,3.7984,sensitivity_limited,tier_instability_severe,211.7376,48.141,0.337915,1.3318274154238243,0.5060845334980832,14.84201807525132,0.6956201851821222,-0.0768471875828914,0.074598265103534,30.0,10.0,37.299132551767,30.39864103648492,24.378518007690847,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,99.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,high,99.5,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
anicetus,True,True,True,True,True,True,20.1691,5.7342,caution,high_standard_error; low_image_count; low_specimen_count,217.5408,33.8256,0.154832,1.213697335160583,0.494945701696281,13.018938326598226,0.5474937765051844,-0.1616846549941235,0.0720531268331757,34.0,4.0,36.02656341658785,29.361502377007213,23.54677347489402,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,45.099,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,45.099,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
apalachicolae,True,True,True,True,True,True,12.7449,3.8966,minor_caution,high_area_cv,253.3644,34.3764,0.134563,1.2373080263737135,0.4850348192948527,13.522389580743312,0.5701683501301362,-0.2134221059172521,0.0664780730178058,17.0,0.0,33.2390365089029,27.089679306359333,21.724860463335222,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,45.43,manual_svl_mean_all_specimens_mm,graham_timpe_laurencio_2010_auriculatus_decline,medium,45.43,observed_mediumplus,True,aquatic_larva,amphibio_2017,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,graham_timpe_laurencio_2010_auriculatus_decline,high,,,True,True,True,False,False,True,False,False,0,False,amphibio_2017;graham_timpe_laurencio_2010_auriculatus_decline,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
auriculatus,True,True,True,True,True,True,17.3923,2.903,sensitivity_limited,high_area_cv; preservation_shift; tier_instability_severe,146.4714,48.456,0.572764,1.4453714861587617,0.4557330880137987,13.54636954144359,0.4832237998979086,-0.1271913200199015,0.0675641907796391,17.0,3.0,33.782095389819546,27.532270081352525,22.07980090837879,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,48.46,manual_svl_mean_all_specimens_mm,graham_timpe_laurencio_2010_auriculatus_decline,medium,48.46,observed_mediumplus,True,aquatic_larva,amphibio_2017,medium,aquatic_larva,observed_mediumplus,True,3.0,3.0,observed_mediumplus,True,swamp_coastal_plain,swamp_coastal_plain,observed_mediumplus,True,graham_timpe_laurencio_2010_auriculatus_decline,high,,,True,True,True,False,False,True,False,False,0,False,amphibio_2017;graham_timpe_laurencio_2010_auriculatus_decline,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
bairdi,True,True,True,True,True,True,18.9692,2.9271,caution,low_specimen_count; tier_instability_warn,275.2632,58.7736,0.212956,1.483416792763257,0.4488048846001291,12.26912331520524,0.253233203333473,-0.2363897108342642,0.067379440672385,42.0,6.0,33.68972033619248,27.456984789072923,22.01942505633495,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,53.70100000000001,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,53.70100000000001,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
campi,True,True,True,True,True,True,15.6222,4.6176,caution,high_area_cv; high_standard_error,223.0596,45.4788,0.201512,1.314619279818199,0.4809838830345422,12.900346756369972,0.4463815287706568,0.0257479588328357,0.0767597780700685,44.0,11.0,38.37988903503425,31.279453166287084,25.08489479414003,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,46.88800000000001,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,46.88800000000001,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,nc_biodiversity_amphibians,True,True,True,False,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
fuscus,True,True,True,True,True,True,16.36,2.0738,minor_caution,high_area_cv,140.5476,43.3818,0.57156,1.3747949966048103,0.4625722196841148,12.233228810924745,0.3229015213844729,-0.0309830266903211,0.0705803870140831,40.0,9.0,35.29019350704153,28.761363901419337,23.065485952314724,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,59.147,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,59.147,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
gvnigeusgwotli,True,True,True,True,True,True,16.9464,3.1478,stable,,246.7512,50.7096,0.204206,1.3574617440156784,0.5050007028599041,14.753146766954536,0.687805999246936,-0.1292633999070879,0.0673890318619744,33.0,5.0,33.694515930987194,27.46089317928867,22.022559432017776,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,100.0,adult_svl_max_mm,nc_biodiversity_amphibians,medium,100.0,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
intermedius,True,True,True,True,True,True,13.9225,3.164,stable,,257.7456,52.2648,0.207789,1.3223591937199697,0.4944719987426275,14.12848762727508,0.5907264918722782,0.5031703365139655,0.0692832559815024,28.0,7.0,34.64162799075122,28.232785648534005,22.641586922059624,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,56.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,high,56.5,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,high,aquatic_larva,observed_mediumplus,True,2.0,2.0,observed_mediumplus,True,stream_aquatic,stream_aquatic,observed_mediumplus,True,nc_biodiversity_amphibians,medium,900.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
kanawha,True,True,True,False,True,False,11.8033,0.9042,sensitivity_limited,preservation_shift,156.7224,49.8744,0.463521,1.440921272356333,0.4801843131146555,13.745200672963144,0.5605805702142418,,,,,,,,,,,,82.0,adult_svl_max_mm,nc_biodiversity_amphibians,medium,82.0,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
