source_row,english_name,species,family,genome_size_gb,shannon_top10_superfamilies,gini_simpson_top10_superfamilies,group,source
1,yellowbelly pufferfish,Takifugu flavidus,Tetraodontidae,0.38,2.01,0.83,Bony Fishes,Historical published-vertebrate composite used by prior project code
2,fugu,Takifugu rubripes,Tetraodontidae,0.38,1.95,0.81,Bony Fishes,Historical published-vertebrate composite used by prior project code
3,Chinese tongue sole,Cynoglossus semilaevis,Cynoglossidae,0.47,1.56,0.69,Bony Fishes,Historical published-vertebrate composite used by prior project code
4,Rheingroppe,Cottus rhenanus,Cottidae,0.56,1.92,0.8,Bony Fishes,Historical published-vertebrate composite used by prior project code
5,North Pacific bluefin tuna,Thunnus orientalis,Scombridae,0.83,1.83,0.78,Bony Fishes,Historical published-vertebrate composite used by prior project code
6,white sturgeon,Acipenser transmontanus,Acipenseridae,0.86,2.06,0.85,Bony Fishes,Historical published-vertebrate composite used by prior project code
7,Alligator gar,Atractosteus spatula,Lepisosteidae,1.1,1.99,0.82,Bony Fishes,Historical published-vertebrate composite used by prior project code
8,common carp,Cyprinus carpio,Cyprinidae,1.68,2.15,0.87,Bony Fishes,Historical published-vertebrate composite used by prior project code
9,zebrafish,Danio rerio,Cyprinidae,1.7,2.11,0.85,Bony Fishes,Historical published-vertebrate composite used by prior project code
10,Barbus grahami,Sinocyclocheilus grahami,Cyprinidae,1.75,2.09,0.86,Bony Fishes,Historical published-vertebrate composite used by prior project code
11,Russian sturgeon,Acipenser gueldenstaedtii,Acipenseridae,2.4,2.11,0.86,Bony Fishes,Historical published-vertebrate composite used by prior project code
12,Dog salmon,Oncorhynchus keta,Salmonidae,2.6,1.7,0.75,Bony Fishes,Historical published-vertebrate composite used by prior project code
13,Atlantic salmon,Salmo salar,Salmoninae,3,1.79,0.77,Bony Fishes,Historical published-vertebrate composite used by prior project code
14,African coelacanth,Latimeria chalumnae,Latimeriidae,2.74,1.9,0.81,Lobe-finned fish,Historical published-vertebrate composite used by prior project code
